         143478 function calls (138828 primitive calls) in 0.089 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
      115    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      110    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       15    0.000    0.000    0.000    0.000 typing.py:2476(overload)
       16    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        1    0.000    0.000    0.010    0.010 universaldetector.py:1(<module>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      133    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      121    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
   105/48    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
    54/34    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    0.004    0.004 mbcsgroupprober.py:1(<module>)
        2    0.000    0.000    0.001    0.001 core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.002    0.002 chardistribution.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.003    0.003 sessions.py:1(<module>)
       70    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      147    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.023    0.023 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       82    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
      123    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        7    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      110    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timeout.py:25(Timeout)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      110    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.005    0.005 _request_methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
        1    0.000    0.000    0.000    0.000 escsm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
